City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Hovd,MN,48.0056,91.6419,20.35,68,0,2.21,clear sky
274,Cuddapah,IN,14.4667,78.8167,82.4,61,20,9.22,haze
275,Erzin,TR,36.9559,36.2,43.0,97,100,4.0,light rain
276,Beaumont,US,30.0861,-94.1019,46.4,71,1,3.44,clear sky
277,Kahului,US,20.8947,-156.47,73.4,64,20,12.66,few clouds
278,Tver,RU,56.8619,35.8931,32.04,98,100,8.63,snow
279,Havelock,US,34.8791,-76.9013,30.2,69,1,9.22,clear sky
280,Umea,SE,63.8284,20.2597,-2.2,92,0,4.61,light snow
281,Arroyo,ES,41.6096,-4.7969,50.0,93,75,13.8,broken clouds
282,Le Port,RE,-20.9373,55.2919,86.0,66,26,13.8,light rain
283,Mujiayingzi,CN,42.1167,118.7833,18.88,90,0,8.99,clear sky
284,Esperance,AU,-33.8667,121.9,75.2,46,0,19.57,clear sky
285,Karratha,AU,-20.7377,116.8463,91.99,44,0,13.62,clear sky
286,Port Lincoln,AU,-34.7333,135.8667,68.32,68,52,17.47,broken clouds
287,Oxbow,CA,49.2333,-102.1676,9.0,89,100,10.0,overcast clouds
288,Kidal,ML,18.4411,1.4078,61.02,31,15,16.82,few clouds
289,Pinega,RU,64.7001,43.3936,6.12,94,100,8.5,light snow
290,Chumikan,RU,54.7183,135.315,-9.63,86,100,5.14,overcast clouds
291,Sanary-Sur-Mer,FR,43.1178,5.8001,57.0,79,98,5.01,overcast clouds
292,Leningradskiy,RU,69.3833,178.4167,-23.57,85,85,6.46,overcast clouds
293,Kozhevnikovo,RU,56.2589,83.9714,25.0,95,100,5.99,overcast clouds
294,Buala,SB,-8.145,159.5921,80.8,82,100,9.66,moderate rain
295,Belaya Gora,RU,68.5333,146.4167,-27.62,85,100,5.39,overcast clouds
296,Sukhumi,GE,43.0033,41.0153,44.78,78,100,3.15,overcast clouds
297,El Jicaro,GT,14.9167,-89.9,66.94,71,98,4.65,overcast clouds
