City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Mareeba,AU,82.35,overcast clouds,-17.0,145.4333,
546,Hualmay,PE,69.85,overcast clouds,-11.0964,-77.6139,
549,Labuan,MY,81.39,overcast clouds,5.2767,115.2417,
550,Cintalapa,MX,66.83,overcast clouds,16.6951,-93.7272,
551,Mangochi,MW,76.66,light rain,-14.4782,35.2645,
553,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,
557,Kasongo-Lunda,CD,74.34,broken clouds,-6.4667,16.8167,
559,Biak,ID,86.05,overcast clouds,-0.9131,122.8766,
560,Rabo De Peixe,PT,60.89,overcast clouds,37.8,-25.5833,
561,Guayaramerin,BO,72.25,overcast clouds,-10.8368,-65.3614,
563,Karwar,IN,85.05,clear sky,14.8,74.1333,
565,Itarema,BR,77.36,light rain,-2.9248,-39.9167,
566,Pilar,BR,72.63,overcast clouds,-9.5972,-35.9567,
571,Saint-Georges,GD,75.2,few clouds,12.0564,-61.7485,
574,Nhulunbuy,AU,84.54,light rain,-12.2333,136.7667,
575,Adre,TD,68.09,clear sky,13.4667,22.2,
576,Labuhan,ID,82.87,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
577,Nouakchott,MR,60.8,clear sky,18.0858,-15.9785,
579,Saldanha,ZA,62.6,clear sky,-33.0117,17.9442,
585,Winneba,GH,77.76,clear sky,5.3511,-0.6231,
590,Melo,UY,61.7,clear sky,-32.3667,-54.1833,
591,Thinadhoo,MV,82.38,few clouds,0.5333,72.9333,
593,Malanje,AO,67.53,broken clouds,-9.5402,16.340999999999998,
595,Iquique,CL,68.0,clear sky,-20.2208,-70.1431,
596,Moerai,PF,81.16,light rain,-22.4333,-151.3333,
598,Bacolod,PH,80.83,scattered clouds,10.6667,122.95,
601,Linhares,BR,70.41,clear sky,-19.3911,-40.0722,
602,Trinidad,BO,72.88,broken clouds,-14.8333,-64.9,
603,Cap Malheureux,MU,81.52,clear sky,-19.9842,57.6142,
604,Baindur,IN,87.17,clear sky,13.8667,74.6333,
605,Port Blair,IN,83.26,clear sky,11.6667,92.75,
606,Kamalpur,IN,81.32,clear sky,24.2,91.8333,
608,Mao,ES,62.78,overcast clouds,39.8885,4.2658,
609,Kununurra,AU,82.4,scattered clouds,-15.7667,128.7333,
610,Tres Lagoas,BR,72.88,overcast clouds,-20.7511,-51.6783,
612,Montepuez,MZ,78.53,light rain,-13.1256,38.9997,
615,Siparia,TT,72.0,overcast clouds,10.1333,-61.5,
617,Say,NE,67.26,scattered clouds,13.1007,2.3689,
621,Norton,ZW,66.16,light rain,-17.8833,30.7,
622,Paramirim,BR,67.3,scattered clouds,-13.4425,-42.2389,
624,Soyo,AO,80.65,overcast clouds,-6.1349,12.3689,
625,Tshikapa,CD,76.64,overcast clouds,-6.4167,20.8,
628,Pisco,PE,69.8,clear sky,-13.7,-76.2167,
629,Banswara,IN,76.55,clear sky,23.55,74.45,
631,Mangrol,IN,78.04,clear sky,21.1167,70.1167,
632,Saint-Pierre,RE,82.63,light rain,-21.3393,55.4781,
633,Pauini,BR,72.34,overcast clouds,-7.7136,-66.9764,
634,Tsabong,BW,80.15,overcast clouds,-26.0217,22.401,
639,Soe,ID,74.1,overcast clouds,-9.8607,124.28399999999999,
641,Abu Dhabi,AE,69.8,clear sky,24.4667,54.3667,
642,Wiwili,NI,66.18,overcast clouds,13.6268,-85.8254,
643,Nanakuli,US,72.16,clear sky,21.3906,-158.1547,
644,Rantepao,ID,76.55,overcast clouds,-2.9701,119.8978,
645,Marzuq,YE,76.17,clear sky,14.4,46.4667,
647,Maxixe,MZ,80.6,light rain,-23.8597,35.3472,
655,George,ZA,65.66,clear sky,-33.963,22.4617,
656,Pontes E Lacerda,BR,71.83,overcast clouds,-15.2261,-59.3353,
659,Gambiran,ID,78.39,light rain,-6.7988,111.4951,
660,Tiarei,PF,78.01,broken clouds,-17.5333,-149.3333,
663,Marawi,PH,80.01,overcast clouds,7.9986,124.2928,
665,Porto Nacional,BR,71.6,few clouds,-10.7081,-48.4172,
666,Pemangkat,ID,78.4,overcast clouds,1.1667,108.9667,
667,Viedma,AR,62.33,clear sky,-40.8135,-62.9967,
668,Guaratuba,BR,73.0,overcast clouds,-25.8828,-48.5747,
672,Kalabo,ZM,71.74,overcast clouds,-14.97,22.6814,
673,Binga,ZW,71.82,moderate rain,-17.6203,27.3414,
675,Sambava,MG,86.49,clear sky,-14.2667,50.1667,
680,Qiyang,CN,61.41,broken clouds,26.5911,111.8474,
681,Grand Gaube,MU,84.99,clear sky,-20.0064,57.6608,
683,Santa Rosa,PH,79.57,overcast clouds,14.3122,121.1114,
685,Chicama,PE,72.16,light rain,-7.8447,-79.1469,
687,Tiznit,MA,60.1,clear sky,29.5833,-9.5,
689,Kikwit,CD,76.59,broken clouds,-5.041,18.8162,
690,Vao,NC,76.64,broken clouds,-22.6667,167.4833,
691,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,
693,Mankera,PK,66.34,clear sky,31.3866,71.4407,
698,Mogadishu,SO,82.4,broken clouds,2.0371,45.3438,
699,Bobo Dioulasso,BF,64.54,clear sky,11.1771,-4.2979,
700,Gondanglegi,ID,84.02,overcast clouds,-7.7479,112.0132,
702,Alofi,NU,78.8,overcast clouds,-19.0595,-169.9187,
703,Tambacounda,SN,68.0,clear sky,13.7539,-13.7586,
704,Santiago De Cao,PE,70.21,broken clouds,-7.9589,-79.2392,
706,Matara,LK,87.19,overcast clouds,5.9485,80.5353,
